x0003,y0003
400000000,-104.4873123,
400025000,-111.842453,
400050000,-112.0322495,
400075000,-111.9909973,
400100000,-112.1392975,
400125000,-112.1184235,
400150000,-112.0907974,
400175000,-111.9625702,
400200000,-112.0397644,
400225000,-112.1012878,
400250000,-112.0159454,
400275000,-112.0883942,
400300000,-112.0602112,
400325000,-112.0029449,
400350000,-112.0026703,
400375000,-112.0223389,
400400000,-112.1787949,
400425000,-112.0309906,
400450000,-112.0581436,
400475000,-112.1203461,
400500000,-112.0980835,
400525000,-112.1513519,
400550000,-112.0938187,
400575000,-112.1829071,
400600000,-112.1083908,
400625000,-112.1239624,
400650000,-112.1250153,
400675000,-112.1828308,
400700000,-112.0958252,
400725000,-112.034996,
400750000,-112.0955276,
400775000,-111.9646301,
400800000,-112.0528107,
400825000,-112.054657,
400850000,-112.1126633,
400875000,-111.9998474,
400900000,-112.1676559,
400925000,-111.9963455,
400950000,-112.0485001,
400975000,-112.1299133,
401000000,-112.1682281,
401025000,-112.1165161,
401050000,-112.1532516,
401075000,-111.926712,
401100000,-112.0953217,
401125000,-112.1362305,
401150000,-112.1125641,
401175000,-112.1920013,
401200000,-112.1379166,
401225000,-112.1363144,
401250000,-111.9960022,
401275000,-112.0791321,
401300000,-112.0674133,
401325000,-112.1358871,
401350000,-112.0998535,
401375000,-111.9289398,
401400000,-112.0095825,
401425000,-111.9858475,
401450000,-112.0434494,
401475000,-111.9721527,
401500000,-111.9091415,
401525000,-111.8470383,
401550000,-112.0907593,
401575000,-112.2293472,
401600000,-111.98349,
401625000,-112.1068878,
401650000,-112.2727127,
401675000,-112.1292496,
401700000,-112.1606064,
401725000,-112.1394043,
401750000,-112.0043106,
401775000,-111.9743652,
401800000,-112.0776062,
401825000,-112.0089722,
401850000,-111.9993515,
401875000,-112.1274567,
401900000,-112.1594086,
401925000,-112.0801926,
401950000,-112.1792297,
401975000,-112.1016617,
402000000,-111.8707199,
402025000,-112.1945496,
402050000,-112.1373444,
402075000,-112.1563873,
402100000,-112.1778793,
402125000,-112.1519012,
402150000,-112.2276688,
402175000,-112.1584625,
402200000,-112.0863647,
402225000,-112.0381241,
402250000,-112.0180893,
402275000,-111.9944153,
402300000,-112.2241211,
402325000,-112.1936722,
402350000,-112.0041962,
402375000,-112.1242371,
402400000,-112.0434647,
402425000,-111.9409027,
402450000,-112.0320129,
402475000,-112.0690842,
402500000,-111.9599991,
402525000,-112.1053772,
402550000,-112.1183472,
402575000,-112.0754547,
402600000,-112.1706848,
402625000,-112.1104889,
402650000,-112.140625,
402675000,-112.0695343,
402700000,-112.1441574,
402725000,-111.9366455,
402750000,-112.186882,
402775000,-112.0732193,
402800000,-112.0977936,
402825000,-111.9329224,
402850000,-111.9788818,
402875000,-111.9500122,
402900000,-112.0080261,
402925000,-111.9619446,
402950000,-112.0579605,
402975000,-111.9318542,
403000000,-110.8958054,
403025000,-111.7790909,
403050000,-111.8088379,
403075000,-111.9036179,
403100000,-111.7409439,
403125000,-111.9702911,
403150000,-112.0425491,
403175000,-111.9429855,
403200000,-111.8860168,
403225000,-112.0609665,
403250000,-112.0189209,
403275000,-112.0064926,
403300000,-111.8183212,
403325000,-111.9345932,
403350000,-112.0018463,
403375000,-111.8348999,
403400000,-111.8610306,
403425000,-111.962677,
403450000,-111.9741364,
403475000,-111.9216843,
403500000,-111.7592926,
403525000,-112.0557022,
403550000,-112.0727844,
403575000,-111.9346542,
403600000,-111.9438095,
403625000,-111.8220825,
403650000,-111.6965942,
403675000,-111.9491425,
403700000,-111.9385986,
403725000,-111.9343109,
403750000,-111.8245697,
403775000,-111.8606644,
403800000,-111.7841034,
403825000,-111.867691,
403850000,-111.9095459,
403875000,-111.9184265,
403900000,-111.9013977,
403925000,-111.9952011,
403950000,-111.8031769,
403975000,-111.8347168,
404000000,-111.5600739,
404025000,-112.0125732,
404050000,-112.0162506,
404075000,-111.9391632,
404100000,-111.9300385,
404125000,-111.7988968,
404150000,-111.8251343,
404175000,-111.8725281,
404200000,-111.941185,
404225000,-111.9406815,
404250000,-112.0728912,
404275000,-112.0326233,
404300000,-111.8917694,
404325000,-111.9291611,
404350000,-111.9182205,
404375000,-111.8564224,
404400000,-111.926033,
404425000,-111.7871933,
404450000,-111.8760223,
404475000,-111.7401199,
404500000,-111.8218079,
404525000,-111.9050598,
404550000,-111.8925629,
404575000,-111.8209686,
404600000,-111.9094238,
404625000,-111.8825836,
404650000,-111.823204,
404675000,-111.987236,
404700000,-112.0613403,
404725000,-111.9033203,
404750000,-112.0134888,
404775000,-112.0638428,
404800000,-111.9256134,
404825000,-111.9226761,
404850000,-111.901062,
404875000,-111.8683548,
404900000,-111.9826965,
404925000,-111.8400421,
404950000,-111.9655991,
404975000,-111.9604645,
405000000,-111.2671509,
405025000,-111.9529419,
405050000,-111.8055725,
405075000,-111.7932816,
405100000,-111.8590927,
405125000,-111.9131393,
405150000,-112.106842,
405175000,-112.0581055,
405200000,-111.9915161,
405225000,-111.8765335,
405250000,-111.947113,
405275000,-111.8748474,
405300000,-111.9059677,
405325000,-111.7876892,
405350000,-111.8093262,
405375000,-111.8541565,
405400000,-111.841156,
405425000,-112.0526581,
405450000,-111.9206848,
405475000,-112.0265198,
405500000,-111.5828094,
405525000,-111.8901825,
405550000,-111.9380951,
405575000,-111.9179382,
405600000,-111.9411392,
405625000,-111.8987579,
405650000,-111.8937225,
405675000,-112.0014038,
405700000,-111.8984985,
405725000,-112.0077972,
405750000,-111.8156891,
405775000,-111.9733276,
405800000,-111.8183594,
405825000,-111.8318634,
405850000,-111.9859009,
405875000,-111.7584076,
405900000,-111.7219925,
405925000,-111.9579926,
405950000,-111.752533,
405975000,-111.7186661,
406000000,-111.7620392,
406025000,-111.8059235,
406050000,-111.7310791,
406075000,-111.7022552,
406100000,-111.6014938,
406125000,-111.7540283,
406150000,-111.7360992,
406175000,-111.7466049,
406200000,-111.7365417,
406225000,-111.8311462,
406250000,-111.8267517,
406275000,-111.8890839,
406300000,-111.8806305,
406325000,-111.8226776,
406350000,-111.951416,
406375000,-111.8197784,
406400000,-111.9290009,
406425000,-111.7605972,
406450000,-111.8657379,
